parada/est.metro,Subidas día laboral por parada,Bajadas día Laboral por parada,comuna,Referencia,diseno_777,x,y
L-24-26-OP-35,134.32,50.22,SAN RAMÓN,CARMEN / SANTA ANA,348,347879,6289290
L-24-26-PO-40,23.69,82.42,SAN RAMÓN,SANTA ROSA / SANTA ANA,348,348074,6289249
L-24-14-NS-20,78.68,58.88,SAN RAMÓN,PARROQUIA / RIVADAVIA,348,347680,6289651
L-24-14-SN-25,43.45,27.09,SAN RAMÓN,PARROQUIA / RIVADAVIA,348,347688,6289623
L-24-14-NS-30,65.03,51.13,SAN RAMÓN,SANTA ANA / RIVADAVIA,348,347620,6289333
L-24-14-SN-35,70.51,53.42,SAN RAMÓN,SANTA ANA / RIVADAVIA,348,347623,6289306
T-24-394-PO-5,105.56,6.07,SAN RAMÓN,EMILIANO FIGUEROA / BOLIVIA,349,346803,6287861
T-24-12-OP-15,51.83,26.29,SAN RAMÓN,ANíBAL ZAñARTU / VESPUCIO,349,347120,6287585
L-24-28-OP-20,143.65,43.00,SAN RAMÓN,SAN FRANCISCO / ELíAS FERNÃNDEZ ALBANO,349,347066,6289181
L-24-20-PO-10,27.23,46.76,SAN RAMÓN,FERNÃNDEZ ALBANO / ECUADOR,349,346936,6287997
L-24-20-OP-15,74.43,24.48,SAN RAMÓN,FERNÃNDEZ ALBANO / ECUADOR,349,346955,6288008
L-24-20-PO-20,33.20,65.51,SAN RAMÓN,JUAN SANFUENTES / ECUADOR,349,347241,6287930
L-24-20-OP-25,80.40,41.03,SAN RAMÓN,JUAN SANFUENTES / ECUADOR,349,347286,6287932
L-24-28-PO-5,70.83,98.91,SAN RAMÓN,ALVEAR / ELíAS FERNÃNDEZ ALBANO,349,347298,6289050
L-24-16-OP-6,89.14,24.59,SAN RAMÓN,LA GRANJA / URUGUAY,349,346912,6288531
L-24-16-PO-7,26.22,107.17,SAN RAMÓN,FERNÃNDEZ ALBANO / URUGUAY,349,347039,6288494
L-24-16-OP-8,109.60,30.42,SAN RAMÓN,ELIAS FERNANDEZ ALBANO / URUGUAY,349,347061,6288494
L-24-18-PO-5,20.20,54.75,SAN RAMÓN,ISMAEL TOCORNAL / ARGENTINA,349,347150,6288633
L-24-20-OP-5,42.52,40.15,SAN RAMÓN,LA GRANJA / ECUADOR,349,346800,6288044
L-24-5-OP-5,197.38,74.83,SAN RAMÓN,SAN FRANCISCO / EL PARRÓN,349,346996,6288891
L-24-5-PO-10,67.83,94.62,SAN RAMÓN,ISMAEL TOCORNAL / EL PARRÓN,349,347197,6288836
L-24-5-OP-15,162.46,54.05,SAN RAMÓN,1 PONIENTE / EL PARRÓN,349,347261,6288846
L-24-8-SN-25,50.04,55.86,SAN RAMÓN,URUGUAY / JUAN LUIS SANFUENTES,349,347389,6288394
L-24-8-NS-30,63.28,27.49,SAN RAMÓN,PARAGUAY / JUAN LUIS SANFUENTES,349,347331,6288281
L-24-8-SN-35,20.27,29.68,SAN RAMÓN,PARAGUAY / JUAN LUIS SANFUENTES,349,347346,6288238
L-24-8-NS-40,77.17,61.38,SAN RAMÓN,ECUADOR / JUAN LUIS SANFUENTES,349,347258,6287953
L-24-8-SN-45,46.21,45.23,SAN RAMÓN,ECUADOR / JUAN LUIS SANFUENTES,349,347273,6287901
L-24-8-NS-50,26.07,58.69,SAN RAMÓN,BOLIVIA / JUAN LUIS SANFUENTES,349,347222,6287785
L-24-10-SN-5,31.62,31.45,SAN RAMÓN,EL PARRÓN / LA GRANJA,349,346983,6288872
L-24-10-SN-10,15.35,7.14,SAN RAMÓN,ARGENTINA / LA GRANJA,349,346937,6288677
L-24-2-OP-5,45.26,16.72,SAN RAMÓN,JUAN SANFUENTES / BOLIVIA,349,347286,6287781
T-24-205-NS-25,421.33,407.39,SAN RAMÓN,PARADA 1 / P. 20 SANTA ROSA,350,348103,6289001
T-24-205-NS-30,371.01,483.07,SAN RAMÓN,PARADA 1 / P. 21 SANTA ROSA,350,348144,6288754
T-24-205-NS-35,401.26,510.76,SAN RAMÓN,PARADA 3 / P. 22 SANTA ROSA,350,348178,6288456
T-24-205-NS-40,686.15,577.47,SAN RAMÓN,PARADA 1 / P. 22 SANTA ROSA,350,348190,6288354
L-24-28-PO-20,102.67,133.59,SAN RAMÓN,SANTA ROSA / ELíAS FERNÃNDEZ ALBANO,350,348108,6288931
